"CastID","CastFilmID","CastActorID","CastCharacterName"
"702","162","301","Lt. Commander Hikaru Sulu"
"703","162","302","Lt. Commander Uhura"
"704","162","298","Admiral James T. Kirk"
"705","162","299","Mr Spock"
"706","162","300","Dr. Leonard ""Bones"" McCoy"
"708","201","265","Commander Kruge"
"709","201","296","Commander Montgomery ""Scotty"" Scott"
"710","201","297","Commander Pavel Chekov"
"711","201","301","Commander Hikaru Sulu"
"712","201","302","Commander Uhura"
"713","201","298","Admiral James T. Kirk"
"714","201","299","Captain Spock"
"715","201","300","Dr. Leonard ""Bones"" McCoy"
"716","174","298","Captain James T. Kirk"
"717","174","299","Captain Spock"
"718","174","300","Dr. Leonard ""Bones"" McCoy"
"719","174","296","Captain Montgomery ""Scotty"" Scott"
"720","174","297","Commander Pavel Chekov"
"721","174","302","Commander Uhura"
"722","174","301","Commander Hikaru Sulu"
"723","180","298","Captain James T. Kirk"
"724","180","299","Captain Spock"
"725","180","300","Dr. Leonard ""Bones"" McCoy"
"726","180","296","Captain Montgomery ""Scotty"" Scott"
"727","180","297","Commander Pavel Chekov"
"728","180","302","Commander Uhura"
"729","180","301","Captain Hikaru Sulu"
"730","180","236","General Chang"
"731","180","261","Colonel Worf"
"732","180","152","Excelsior Communications Officer"
"733","191","298","Captain James T. Kirk"
"734","191","299","Captain Spock"
"735","191","300","Dr. Leonard ""Bones"" McCoy"
"736","191","296","Commander Montgomery ""Scotty"" Scott"
"737","191","301","Commander Hikaru Sulu"
"738","191","297","Commander Pavel Chekov"
"739","191","302","Commander Uhura"
"740","130","307","Clark Kent"
"741","130","305","Jor-El"
"742","130","306","Lex Luthor"
"743","130","308","Lois Lane"
"744","131","195","Lt. Commander Ron Hunter"
"745","131","306","Captain Frank Ramsey"
"746","131","185","Lt. Peter 'WEAPS' Ince"
"747","131","309","Lt. Bobby Dougherty"
"748","132","195","Agent Doug Carlin"
"749","132","310","Agent Paul Pryzwarra"
"750","132","311","Carroll Oerstadt"
"751","133","195","Creasy"
"752","133","119","Pita"
"753","133","223","Rayburn"
"754","134","68","Robert Clayton Dean"
"755","134","306","Brill"
"756","134","29","Reynolds"
"757","134","11","Fiedler"
"758","134","31","Boss Paulie Pintero"
"759","135","312","The Bride"
"760","135","313","O-Ren Ishii"
"761","135","314","Elle Driver"
"762","135","315","Bill"
"763","135","91","Budd"
"764","136","255","Ellen Ripley"
"765","136","316","Dillon"
"766","136","219","Clemens"
"767","136","317","David"
"768","137","172","Chon Wang"
"769","137","102","Roy O'Bannon"
"770","137","313","Princess Pei Pei"
"771","138","312","The Bride"
"772","138","315","Bill"
"773","138","313","O-Ren Ishii"
"774","138","91","Budd"
"775","138","314","Elle Driver"
"776","138","6","Rufus"
"777","139","318","Blade"
"778","139","319","Abraham Whistler"
"779","139","284","Reinhardt"
"780","139","320","Snowman"
"781","140","321","John ""Doc"" Bradley"
"782","140","193","Colonel Chandler Johnson"
"783","141","322","Sam 'Ace' Rothstein"
"784","141","274","Ginger McKenna"
"785","141","95","Nicky Santoro"
"786","141","110","Lester Diamond"
"787","142","23","Robin of Locksley"
"788","142","22","Azeem"
"789","142","146","Marian Dubois"
"790","142","152","Will Scarlett"
"791","142","43","Sheriff of Nottingham"
"792","142","244","King Richard"
"793","143","256","Shrek"
"794","143","257","Donkey"
"795","143","209","Princess Fiona"
"796","143","276","Lord Farquaad"
"797","144","172","Chon Wang"
"798","144","102","Roy O'Bannon"
"799","144","320","Wu Chow"
"800","145","278","Indiana Jones"
"801","145","244","Professor Henry Jones"
"802","145","323","Sallah"
"803","59","323","Gimli"
"804","73","323","Gimli"
"805","74","323","Gimli"
"806","147","318","Blade"
"807","147","319","Abraham Whistler"
"808","147","324","Deacon Frost"
"809","148","278","Jack Ryan"
"810","148","212","Sean Miller"
"811","148","6","Lt. Cmdr. Robby Jackson"
"812","148","135","Paddy O'Neil"
"813","148","325","Admiral James Greer"
"814","149","278","Dr. Richard David Kimble"
"815","149","105","Marshal Samuel Gerard"
"816","149","326","Dr. Anne Eastman"
"817","149","327","Deputy Marshal Cosmo Renfro"
"818","150","241","Robert Angier"
"819","150","78","Alfred Borden"
"820","150","79","Cutter"
"821","150","279","Olivia Wenscombe"
"822","150","13","Alley"
"823","151","208","Hawkeye"
"824","151","328","Cora Munro"
"825","151","329","Chinachgook"
"826","151","330","Magua"
"827","152","331","Jaguar Paw"
"828","152","332","Seven"
"829","153","102","John Beckwith"
"830","153","181","Jeremy Grey"
"831","153","223","Secretary William Cleary"
"832","153","333","Claire Cleary"
"833","153","334","Gloria Cleary"
"834","153","335","Kathleen Cleary"
"835","154","336","Marty McFly"
"836","154","265","Dr. Emmett Brown"
"837","154","337","Buford 'Mad Dog' Tannen"
"838","155","336","Marty McFly"
"839","155","265","Dr. Emmett Brown"
"840","155","337","Biff Tannen"
"841","156","338","James Bond"
"842","156","339","Dario"
"843","156","116","Q"
"844","156","340","M"
"845","156","341","Felix Leiter"
